観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),18日の最高気温(℃),18日の最高気温の品質情報,18日の最高気温起時（時）,18日の最高気温起時（分）,18日の最高気温起時の品質情報,平年差（℃）,前日差（℃）,該当旬（月）,該当旬（旬）,極値更新,10年未満での極値更新,今年最高,今年の最高気温（℃)（17日まで）,今年の最高気温（17日まで）の品質情報,今年の最高気温（17日まで）を観測した起日（年）,今年の最高気温（17日まで）を観測した起日（月）,今年の最高気温（17日まで）を観測した起日（日）,17日までの観測史上1位の値（℃）,17日までの観測史上1位の値の品質情報,17日までの観測史上1位の値を観測した起日（年）,17日までの観測史上1位の値を観測した起日（月）,17日までの観測史上1位の値を観測した起日（日）,17日までの11月の1位の値,17日までの11月の1位の値の品質情報,17日までの11月の1位の値の起日（年）,17日までの11月の1位の値の起日（月）,17日までの11月の1位の値の起日（日）,統計開始年
15231,北海道空知地方,空知吉野（ソラチヨシノ）,,2024,11,18,23,00,1.7,5,00,14,5,-3.8,-14.8,12,1,,,0,34.2,5,2024,08,12,36.8,8,2021,08,07,20.1,8,2003,11,03,1978
15241,北海道空知地方,滝川（タキカワ）,,2024,11,18,23,00,2.3,5,00,14,5,-3.3,-13.6,11,3,,,0,34.7,5,2024,08,13,36.0,8,2021,07,28,20.0,8,2003,11,03,1976
15251,北海道空知地方,芦別（アシベツ）,,2024,11,18,23,00,2.0,5,00,06,5,-4.1,-14.7,12,1,,,0,34.6,5,2024,07,21,37.2,8,2021,07,31,20.9,8,2003,11,03,1978
15311,北海道空知地方,月形（ツキガタ）,,2024,11,18,23,00,2.3,5,00,24,5,-3.7,-13.0,12,1,,,0,34.6,5,2024,08,12,36.3,8,2021,07,31,19.5,8,2003,11,02,1977
15321,北海道空知地方,美唄（ビバイ）,,2024,11,18,23,00,2.6,5,00,58,5,-3.4,-13.8,12,1,,,0,34.6,5,2024,08,12,35.6,8,2021,08,06,20.0,8,2003,11,03,1977
15356,北海道空知地方,岩見沢（イワミザワ）,47413,2024,11,18,23,00,2.6,5,00,08,5,-4.0,-13.7,12,1,,,0,34.8,5,2024,08,12,35.7,8,2023,08,25,20.5,8,2023,11,03,1946
15431,北海道空知地方,長沼（ナガヌマ）,,2024,11,18,23,00,2.9,5,10,37,5,-4.2,-13.1,12,1,,,0,36.3,5,2024,08,12,36.3,8,2024,08,12,20.5,8,2023,11,03,1977
15442,北海道空知地方,夕張（ユウバリ）,,2024,11,18,23,00,0.2,5,00,05,5,-5.1,-14.3,12,1,,,0,33.0,5,2024,07,21,35.0,8,2021,07,28,19.0,8,2003,11,03,1976
16026,北海道後志地方,美国（ビクニ）,,2024,11,18,23,00,1.6,5,00,21,5,-4.9,-15.8,12,1,,,0,32.8,5,2024,08,03,35.2,8,2023,08,31,20.8,8,2023,11,03,1977
16061,北海道後志地方,神恵内（カモエナイ）,,2024,11,18,23,00,2.8,5,00,59,5,-5.1,-14.3,12,1,,,0,32.3,5,2024,07,21,33.5,8,2021,07,28,19.6,8,2003,11,03,1977
16076,北海道後志地方,余市（ヨイチ）,,2024,11,18,23,00,2.0,5,00,54,5,-5.3,-15.1,12,1,,,0,33.5,5,2024,07,21,34.9,8,1984,08,16,21.0,8,2003,11,03,1977
16091,北海道後志地方,小樽（オタル）,47411,2024,11,18,23,00,2.0,5,10,01,5,-5.3,-16.4,12,1,,,0,32.7,5,2024,08,30,36.2,8,2021,07,28,21.8,8,2003,11,03,1943
16156,北海道後志地方,共和（キョウワ）,,2024,11,18,23,00,2.6,5,00,14,5,-4.9,-14.9,12,1,,,0,34.3,5,2024,07,21,35.0,8,2023,08,10,21.7,8,2023,11,03,1977
16206,北海道後志地方,蘭越（ランコシ）,,2024,11,18,23,00,2.3,5,00,34,5,-4.6,-13.9,12,1,,,0,33.6,5,2024,08,12,35.4,8,2023,08,23,22.0,8,2023,11,03,1977
16217,北海道後志地方,倶知安（クッチャン）,47433,2024,11,18,23,00,1.0,5,00,33,5,-4.9,-14.8,12,1,,,0,33.0,5,2024,08,12,34.6,8,2023,08,23,20.0,8,2023,11,03,1944
16252,北海道後志地方,寿都（スッツ）,47421,2024,11,18,23,00,2.9,5,00,05,5,-4.6,-11.3,12,1,,,0,30.8,5,2024,07,22,34.0,8,1904,08,20,22.5,8,2023,11,03,1884
16281,北海道後志地方,真狩（マッカリ）,,2024,11,18,23,00,-0.9,5,00,24,5,-5.0,-15.2,12,1,,,0,30.0,5,2024,08,11,32.3,8,2021,07,27,18.2,8,2023,11,03,1978
16286,北海道後志地方,喜茂別（キモベツ）,,2024,11,18,23,00,0.1,5,00,02,5,-5.1,-15.3,12,1,,,0,31.3,5,2024,08,12,34.5,8,2023,08,25,19.3,8,2023,11,03,1977
16321,北海道後志地方,黒松内（クロマツナイ）,,2024,11,18,23,00,2.8,5,00,02,5,-4.4,-11.5,12,1,,,0,33.2,5,2024,07,22,34.5,8,2021,07,18,21.9,8,2023,11,03,1977
17036,北海道網走・北見・紋別地方,雄武（オウム）,47405,2024,11,18,23,00,1.2,5,00,12,5,-4.5,-14.6,12,1,,,0,32.9,5,2024,08,23,35.3,8,2023,08,17,21.5,8,2023,11,03,1942
17076,北海道網走・北見・紋別地方,興部（オコッペ）,,2024,11,18,23,00,1.0,5,11,55,5,-4.9,-16.1,12,1,,,0,32.2,5,2024,07,23,34.3,8,1999,08,09,21.8,8,2003,11,03,1977
17091,北海道網走・北見・紋別地方,西興部（ニシオコッペ）,,2024,11,18,23,00,2.4,5,00,07,5,-2.6,-16.1,11,3,,,0,32.8,5,2024,07,21,36.4,8,1978,08,03,21.2,8,2003,11,03,1977
17112,北海道網走・北見・紋別地方,紋別（モンベツ）,47435,2024,11,18,23,00,2.6,5,00,01,5,-3.6,-16.0,12,1,,,0,34.1,5,2024,08,23,37.0,8,2019,05,26,22.5,8,2023,11,03,1956
17116,北海道網走・北見・紋別地方,紋別小向（モンベツコムカイ）,,2024,11,18,23,00,2.8,5,00,05,5,-3.6,-16.2,12,1,,,0,33.4,5,2024,08,23,37.2,8,2019,05,26,22.7,8,2023,11,03,2003
17166,北海道網走・北見・紋別地方,湧別（ユウベツ）,,2024,11,18,23,00,3.5,5,00,28,5,-2.8,-15.6,11,3,,,0,34.8,5,2024,07,22,38.5,8,2019,05,26,22.3,8,2003,11,03,1977
17196,北海道網走・北見・紋別地方,滝上（タキノウエ）,,2024,11,18,23,00,2.6,5,00,03,5,-2.4,-15.3,11,3,,,0,36.0,5,2024,07,21,37.7,8,1978,08,03,22.1,8,2003,11,03,1977
17246,北海道網走・北見・紋別地方,常呂（トコロ）,,2024,11,18,23,00,3.8,5,00,09,5,-2.7,-15.6,11,3,,,0,34.2,5,2024,07,21,36.9,8,1994,08,07,20.9,8,2003,11,03,1977
17306,北海道網走・北見・紋別地方,遠軽（エンガル）,,2024,11,18,23,00,3.9,5,00,19,5,-2.6,-15.1,11,3,,,0,35.7,5,2024,07,21,37.7,8,2019,05,26,22.8,8,2003,11,03,1977
17316,北海道網走・北見・紋別地方,佐呂間（サロマ）,,2024,11,18,23,00,4.2,5,00,20,5,-2.3,-15.0,11,3,,,0,36.0,5,2024,07,23,39.5,8,2019,05,26,22.0,8,2003,11,03,1977
17341,北海道網走・北見・紋別地方,網走（アバシリ）,47409,2024,11,18,23,00,3.6,5,11,34,5,-3.1,-16.6,11,3,,,0,33.5,5,2024,07,22,37.6,8,1994,08,07,21.7,8,1979,11,05,1889
17351,北海道網走・北見・紋別地方,宇登呂（ウトロ）,,2024,11,18,23,00,2.7,5,00,03,5,-3.7,-17.0,12,1,,,0,33.1,5,2024,07,22,35.3,8,2020,08,11,22.8,8,2023,11,06,1978
17482,北海道網走・北見・紋別地方,白滝（シラタキ）,,2024,11,18,23,00,-0.7,5,00,01,5,-4.0,-15.8,12,1,,,0,34.1,5,2024,07,21,34.1,8,2024,07,21,20.7,8,2023,11,03,1993
17501,北海道網走・北見・紋別地方,生田原（イクタハラ）,,2024,11,18,23,00,3.3,5,00,04,5,-2.4,-15.4,11,3,,,0,35.4,5,2024,07,21,37.0,8,2019,05,26,22.7,8,2015,11,04,1977
17521,北海道網走・北見・紋別地方,北見（キタミ）,,2024,11,18,23,00,4.5,5,00,01,5,-2.1,-14.5,11,3,,,0,35.0,5,2024,07,23,38.1,8,2019,05,26,22.0,8,1979,11,05,1976
17531,北海道網走・北見・紋別地方,女満別（メマンベツ）,,2024,11,18,23,00,4.5,5,11,58,5,-2.3,-15.8,11,3,,,0,35.8,5,2024,07,23,37.7,8,2019,05,26,20.9,8,2003,11,03,2003
17546,北海道網走・北見・紋別地方,小清水（コシミズ）,,2024,11,18,23,00,3.4,5,00,01,5,-3.5,-15.3,12,1,,,0,34.9,5,2024,07,22,36.7,8,2019,05,26,21.7,8,1979,11,05,1977
17561,北海道網走・北見・紋別地方,斜里（シャリ）,,2024,11,18,23,00,4.0,5,00,02,5,-2.8,-15.7,11,3,,,0,34.7,5,2024,07,22,37.1,8,2023,08,26,21.5,8,1979,11,05,1977
17596,北海道網走・北見・紋別地方,留辺蘂（ルベシベ）,,2024,11,18,23,00,2.8,5,00,04,5,-2.1,-15.0,11,3,,,0,34.0,5,2024,07,21,36.4,8,2019,05,26,21.1,8,2003,11,03,1978
17607,北海道網走・北見・紋別地方,境野（サカイノ）,,2024,11,18,23,00,3.8,5,11,49,5,-2.1,-13.7,11,3,,,0,35.2,5,2024,07,21,37.4,8,2021,07,18,21.3,8,1979,11,05,1977
17631,北海道網走・北見・紋別地方,美幌（ビホロ）,,2024,11,18,23,00,3.5,5,00,03,5,-3.2,-16.8,11,3,,,0,36.2,5,2024,07,23,37.4,8,2019,05,26,21.0,8,1979,11,05,1977
17717,北海道網走・北見・紋別地方,津別（ツベツ）,,2024,11,18,23,00,3.8,5,12,48,5,-3.0,-17.1,11,3,,,0,35.6,5,2024,07,22,38.0,8,2019,05,26,20.9,8,2024,11,17,1988
18038,北海道根室地方,羅臼（ラウス）,,2024,11,18,23,00,6.8,5,00,51,5,+0.3,-7.8,11,2,,,0,32.7,5,2024,07,23,32.7,8,2024,07,23,19.2,8,2020,11,07,2005
18136,北海道根室地方,標津（シベツ）,,2024,11,18,23,00,6.3,5,00,01,5,-1.2,-11.9,11,3,,,0,33.8,5,2024,07,22,35.0,8,2010,08,06,20.0,8,2023,11,10,1977
18161,北海道根室地方,上標津（カミシベツ）,,2024,11,18,23,00,4.6,5,00,01,5,-2.0,-12.7,11,3,,,0,32.4,5,2024,07,23,35.2,8,2019,05,26,19.3,8,2018,11,04,2003
18171,北海道根室地方,中標津（ナカシベツ）,,2024,11,18,23,00,6.1,5,00,13,5,-1.1,-12.0,11,3,,,0,34.1,5,2024,07,23,36.5,8,2019,05,26,19.6,8,2018,11,04,1977
18174,北海道根室地方,根室中標津（ネムロナカシベツ）,,2024,11,18,23,00,5.8,5,00,01,5,-1.7,-12.1,11,3,,,0,34.4,5,2024,07,23,36.8,8,2019,05,26,20.2,8,2018,11,04,2003
18256,北海道根室地方,別海（ベツカイ）,,2024,11,18,23,00,6.4,5,00,08,5,-1.5,-11.4,11,3,,,0,34.2,5,2024,07,23,36.6,8,2019,05,26,21.0,8,2015,11,05,1977
18273,北海道根室地方,根室（ネムロ）,47420,2024,11,18,23,00,7.5,5,00,01,5,-0.4,-9.5,11,2,,,0,32.6,5,2024,07,23,34.0,8,2019,05,26,19.2,8,1979,11,05,1879
18281,北海道根室地方,納沙布（ノサップ）,,2024,11,18,23,00,7.8,5,00,02,5,-0.3,-7.5,11,2,,,0,32.1,5,2024,07,23,33.5,8,2020,08,11,17.9,8,1979,11,05,1977
18311,北海道根室地方,厚床（アットコ）,,2024,11,18,23,00,7.4,5,00,01,5,-0.5,-8.9,11,2,,,0,32.9,5,2024,08,24,34.9,8,2015,08,05,20.0,8,2015,11,05,1977
19021,北海道釧路地方,川湯（カワユ）,,2024,11,18,23,00,3.4,5,00,04,5,-2.7,-13.2,11,3,,,0,33.6,5,2024,08,24,36.0,8,2019,05,26,19.3,8,2015,11,05,1977
19051,北海道釧路地方,弟子屈（テシカガ）,,2024,11,18,23,00,3.7,5,00,03,5,-2.3,-13.0,11,3,,,0,33.1,5,2024,08,24,35.7,8,2019,05,26,19.1,8,2018,11,04,1977
19076,北海道釧路地方,阿寒湖畔（アカンコハン）,,2024,11,18,23,00,3.5,5,00,02,5,-1.4,-12.9,11,3,,,0,31.7,5,2024,07,23,35.5,8,2019,05,26,19.0,8,2015,11,05,1977
19151,北海道釧路地方,標茶（シベチャ）,,2024,11,18,23,00,6.4,5,00,04,5,-1.2,-12.9,11,3,,,0,33.0,5,2024,07,21,35.1,8,2023,08,25,21.0,8,2015,11,05,1977
19191,北海道釧路地方,鶴居（ツルイ）,,2024,11,18,23,00,7.1,5,00,01,5,-0.7,-10.5,11,3,,,0,34.2,5,2024,07,23,35.1,8,2010,08,07,21.0,8,2018,11,04,1977
19261,北海道釧路地方,中徹別（ナカテシベツ）,,2024,11,18,23,00,7.8,5,00,34,5,-0.2,-12.6,11,2,,,0,33.9,5,2024,07,22,36.1,8,2019,05,26,22.9,8,2015,11,05,1977
19311,北海道釧路地方,榊町（サカキマチ）,,2024,11,18,23,00,8.5,5,00,19,5,+0.3,-8.3,11,2,,,0,31.8,5,2024,08,24,35.5,8,2010,08,07,20.7,8,1979,11,05,1977
19347,北海道釧路地方,鶴丘（ツルオカ）,,2024,11,18,23,00,7.0,5,00,07,5,-0.7,-9.8,11,3,,,0,32.1,5,2024,07,03,35.6,8,2007,08,15,21.5,8,2018,11,04,2003
19376,北海道釧路地方,太田（オオタ）,,2024,11,18,23,00,6.9,5,00,09,5,-0.5,-9.8,11,2,,,0,32.2,5,2024,08,24,34.7,8,2010,08,07,20.1,8,2015,11,05,1977
19416,北海道釧路地方,白糠（シラヌカ）,,2024,11,18,23,00,9.5,5,00,06,5,+1.4,-7.9,11,2,,,0,32.5,5,2024,07,03,35.5,8,2007,08,15,21.2,8,2018,11,04,1977
19432,北海道釧路地方,釧路（クシロ）,47418,2024,11,18,23,00,7.7,5,00,09,5,-0.5,-9.8,11,2,,,0,29.1,5,2024,08,10,33.5,8,2022,07,31,18.7,8,1940,11,03,1910
